"No.","Time","Source","Destination","Protocol","Length","Info"
"5821","50.240703","192.168.43.159","192.168.43.165","TCP","230","56914  >  5001 [PSH, ACK] Seq=2085000 Ack=2076146 Win=131328 Len=176"
"5822","50.244872","192.168.43.165","192.168.43.159","TCP","54","5001  >  56914 [ACK] Seq=2076146 Ack=2085176 Win=65536 Len=0"
"5823","50.254019","192.168.43.165","192.168.43.159","TCP","1514","5001  >  56914 [ACK] Seq=2076146 Ack=2085176 Win=65536 Len=1460"
"5824","50.254019","192.168.43.165","192.168.43.159","TCP","1514","5001  >  56914 [ACK] Seq=2077606 Ack=2085176 Win=65536 Len=1460"
"5825","50.254019","192.168.43.165","192.168.43.159","TCP","216","5001  >  56914 [PSH, ACK] Seq=2079066 Ack=2085176 Win=65536 Len=162"
"5826","50.254137","192.168.43.159","192.168.43.165","TCP","54","56914  >  5001 [ACK] Seq=2085176 Ack=2079228 Win=131328 Len=0"
"5827","50.258054","192.168.43.159","192.168.43.165","TCP","1514","56914  >  5001 [ACK] Seq=2085176 Ack=2079228 Win=131328 Len=1460"
"5828","50.258054","192.168.43.159","192.168.43.165","TCP","1514","56914  >  5001 [ACK] Seq=2086636 Ack=2079228 Win=131328 Len=1460"
"5829","50.258054","192.168.43.159","192.168.43.165","TCP","230","56914  >  5001 [PSH, ACK] Seq=2088096 Ack=2079228 Win=131328 Len=176"
"5830","50.261495","192.168.43.165","192.168.43.159","TCP","54","5001  >  56914 [ACK] Seq=2079228 Ack=2088272 Win=65536 Len=0"
"5831","50.279669","192.168.43.165","192.168.43.159","TCP","1514","5001  >  56914 [ACK] Seq=2079228 Ack=2088272 Win=65536 Len=1460"
"5832","50.279669","192.168.43.165","192.168.43.159","TCP","1514","5001  >  56914 [ACK] Seq=2080688 Ack=2088272 Win=65536 Len=1460"
"5833","50.279669","192.168.43.165","192.168.43.159","TCP","216","5001  >  56914 [PSH, ACK] Seq=2082148 Ack=2088272 Win=65536 Len=162"
"5834","50.279766","192.168.43.159","192.168.43.165","TCP","54","56914  >  5001 [ACK] Seq=2088272 Ack=2082310 Win=131328 Len=0"
"5835","50.282194","192.168.43.159","192.168.43.165","TCP","1514","56914  >  5001 [ACK] Seq=2088272 Ack=2082310 Win=131328 Len=1460"
"5836","50.282194","192.168.43.159","192.168.43.165","TCP","1514","56914  >  5001 [ACK] Seq=2089732 Ack=2082310 Win=131328 Len=1460"
"5837","50.282194","192.168.43.159","192.168.43.165","TCP","230","56914  >  5001 [PSH, ACK] Seq=2091192 Ack=2082310 Win=131328 Len=176"
"5838","50.288823","192.168.43.165","192.168.43.159","TCP","54","5001  >  56914 [ACK] Seq=2082310 Ack=2091368 Win=65536 Len=0"
